,Timestamp,Class,Archetype,Class_o,Archetype_o,Result
0,6/4/2018 16:42:49,Portalcraft,Artifact,Bloodcraft,Vengeance,1
1,6/4/2018 16:49:25,Runecraft,Spellboost,Portalcraft,Puppet,1
2,6/4/2018 16:50:22,Bloodcraft,Neutral,Runecraft,Ginger,0
3,6/4/2018 16:52:20,Dragoncraft,PDK,Portalcraft,Artifact,0
4,6/4/2018 16:52:57,Portalcraft,Artifact,Portalcraft,Artifact,1
5,6/4/2018 16:58:46,Swordcraft,Midrange,Runecraft,Ginger,0
6,6/4/2018 16:59:26,Havencraft,Tenko,Shadowcraft,Midrange,1
7,6/4/2018 17:00:57,Runecraft,Ginger,Dragoncraft,Lindworm,1
8,6/4/2018 17:09:46,Forestcraft,Aggro,Swordcraft,Midrange,1
9,6/4/2018 17:11:55,Forestcraft,Aggro,Forestcraft,Aggro,1
10,6/4/2018 17:25:36,Portalcraft,Midrange,Portalcraft,Midrange,1
11,6/4/2018 17:29:42,Bloodcraft,Vengeance,Swordcraft,Aggro,1
12,6/4/2018 17:32:34,Swordcraft,Support Cannon,Swordcraft,Midrange,1
13,6/4/2018 17:34:42,Swordcraft,Support Cannon,Shadowcraft,Midrange,0
14,6/4/2018 17:34:43,Runecraft,Ginger,Swordcraft,Midrange,1
15,6/4/2018 17:38:21,Bloodcraft,Vengeance,Havencraft,,1
16,6/4/2018 17:44:35,Forestcraft,Midrange,Runecraft,Dirt,1
17,6/4/2018 17:49:54,Forestcraft,Aggro,Forestcraft,Aggro,1
18,6/4/2018 17:54:00,Swordcraft,,Forestcraft,Midrange,0
19,6/4/2018 17:56:24,Havencraft,Tenko,Bloodcraft,Aggro,1
20,6/4/2018 18:01:21,Bloodcraft,Neutral,Havencraft,Lion Crystal,0
21,6/4/2018 18:01:30,Portalcraft,Control,Forestcraft,Aggro,1
22,6/4/2018 18:11:07,Forestcraft,Aggro,Runecraft,Spellboost,1
23,6/4/2018 18:19:49,Havencraft,Tenko,Swordcraft,Aggro Sword,0
24,6/4/2018 18:22:21,Havencraft,Tenko,Swordcraft,Midrange,1
25,6/4/2018 18:46:13,Dragoncraft,PDK,Forestcraft,Neutral,0
26,6/4/2018 18:50:35,Havencraft,Summit,Portalcraft,,1
27,6/4/2018 18:54:36,Havencraft,Amulet,Forestcraft,Midrange,1
28,6/4/2018 19:02:00,Dragoncraft,PDK,Forestcraft,Aggro,1
29,6/4/2018 19:06:17,Forestcraft,Aggro,Runecraft,Spellboost,1
30,6/4/2018 19:10:05,Forestcraft,Aggro,Forestcraft,Aggro,1
31,6/4/2018 19:15:08,Runecraft,,Bloodcraft,Vengeance,1
32,6/4/2018 19:15:14,Runecraft,,Runecraft,Neutral,0
33,6/4/2018 19:27:31,Runecraft,Silver Blade,Dragoncraft,PDK,1
34,6/4/2018 19:29:48,Bloodcraft,Vengeance,Havencraft,Summit,1
35,6/4/2018 19:33:31,Forestcraft,Neutral,Runecraft,Dirt,1
36,6/4/2018 19:34:20,Havencraft,Tenko,Havencraft,Lion Crystal,1
37,6/4/2018 19:34:39,Havencraft,Tenko,Forestcraft,Midrange,0
38,6/4/2018 19:42:45,Swordcraft,Midrange,Swordcraft,Aggro,0
39,6/4/2018 19:53:15,Forestcraft,Neutral,Bloodcraft,Aggro,1
40,6/4/2018 19:53:15,Swordcraft,Support Cannon,Bloodcraft,Vengeance,1
41,6/4/2018 19:53:49,Swordcraft,Midrange,Dragoncraft,Ramp,1
42,6/4/2018 19:54:34,Bloodcraft,Vengeance,Swordcraft,Midrange,0
43,6/4/2018 19:55:22,Dragoncraft,PDK,Dragoncraft,Lindworm,1
44,6/4/2018 20:15:32,Dragoncraft,PDK,Bloodcraft,Netural,1
45,6/4/2018 20:17:48,Portalcraft,Artifact,Havencraft,Lion Crystal,1
46,6/4/2018 20:38:30,Shadowcraft,Midrange,Dragoncraft,PDK,1
47,6/4/2018 21:03:00,Bloodcraft,Neutral,Havencraft,,1
48,6/4/2018 21:04:57,Runecraft,Spellboost,Dragoncraft,PDK,1
49,6/4/2018 21:18:29,Swordcraft,Midrange,Swordcraft,Aggro,1
50,6/4/2018 21:27:46,Dragoncraft,Lindworm,Forestcraft,Aggro,1
51,6/4/2018 21:42:37,Portalcraft,Artifact,Forestcraft,Aggro,1
52,6/4/2018 22:04:31,Bloodcraft,Vengeance,Dragoncraft,Aggro,1
53,6/4/2018 22:19:31,Havencraft,Summit,Forestcraft,Aggro,1
54,6/4/2018 22:49:28,Forestcraft,Aggro,Portalcraft,Artifact,1
55,6/4/2018 23:04:28,Bloodcraft,,Dragoncraft,,0
56,6/4/2018 23:14:18,Shadowcraft,Hinterland,Portalcraft,Artifact,1
57,6/4/2018 23:22:32,Shadowcraft,Midrange,Shadowcraft,Midrange,1
58,6/5/2018 0:11:38,Portalcraft,,Dragoncraft,,1
59,6/5/2018 0:25:32,Forestcraft,Aggro,Havencraft,Summit,1
60,6/5/2018 0:57:34,Havencraft,Summit,Havencraft,Tenko,1
61,6/5/2018 1:46:39,Shadowcraft,Midrange,Portalcraft,Hybrid,1
62,6/5/2018 2:06:41,Portalcraft,Midrange,Dragoncraft,PDK,1
63,6/5/2018 2:08:36,Forestcraft,Midrange,Swordcraft,Midrange,1
64,6/5/2018 2:47:03,Swordcraft,Support Cannon,Runecraft,,1
65,6/5/2018 2:53:09,Forestcraft,Midrange,Forestcraft,Midrange,1
66,6/5/2018 3:09:43,Forestcraft,Midrange,Portalcraft,Artifact,1
67,6/5/2018 3:19:00,Runecraft,Spellboost,Dragoncraft,Lindworm,1
68,6/5/2018 4:11:37,Dragoncraft,PDK,Runecraft,Ginger,1
69,6/5/2018 4:22:42,Forestcraft,Aggro,Forestcraft,Aggro,1
70,6/5/2018 4:50:25,Portalcraft,Artifact,Havencraft,,1
71,6/5/2018 5:14:48,Forestcraft,Aggro,Forestcraft,Aggro,0
72,6/5/2018 5:23:36,Swordcraft,Midrange,Shadowcraft,Midrange,1
73,6/5/2018 6:02:03,Forestcraft,,Dragoncraft,,1
74,6/5/2018 6:05:30,Bloodcraft,Neutral,Havencraft,Lion Crystal,1
75,6/5/2018 6:32:29,Forestcraft,Midrange,Havencraft,Amulet,0
76,6/5/2018 6:42:06,Havencraft,Summit,Bloodcraft,Vengeance,1
77,6/5/2018 6:47:44,Forestcraft,Aggro,Forestcraft,Aggro,1
78,6/5/2018 6:54:54,Havencraft,Tenko,Swordcraft,Aggro,1
79,6/5/2018 6:56:46,Portalcraft,Artifact,Havencraft,Tenko,1
80,6/5/2018 7:03:49,Forestcraft,Midrange,Dragoncraft,PDK,1
81,6/5/2018 7:06:39,Bloodcraft,Jormungand,Dragoncraft,PDK,1
82,6/5/2018 7:24:49,Runecraft,Ginger,Swordcraft,Midrange,1
83,6/5/2018 7:58:08,Bloodcraft,Control,Havencraft,Tenko,0
84,6/5/2018 8:25:32,Forestcraft,Aggro,Dragoncraft,,0
85,6/5/2018 8:29:38,Portalcraft,Artifact,Dragoncraft,Jerva,1
86,6/5/2018 8:39:07,Dragoncraft,Lindworm,Runecraft,Ginger,1
87,6/5/2018 9:06:07,Bloodcraft,Vengeance,Swordcraft,Aggro,1
88,6/5/2018 9:14:10,Havencraft,Heresy,Havencraft,Summit,1
89,6/5/2018 9:34:42,Portalcraft,Artifact,Forestcraft,Aggro,1
90,6/5/2018 10:33:03,Runecraft,Ginger,Runecraft,Ginger,1
91,6/5/2018 10:55:34,Dragoncraft,PDK,Dragoncraft,PDK,1
92,6/5/2018 12:29:10,Havencraft,Tenko,Runecraft,,1
93,6/5/2018 15:18:02,Dragoncraft,PDK,Portalcraft,Artifact,1
94,6/5/2018 16:12:08,Shadowcraft,Hinterland,Havencraft,Tenko,1
95,6/5/2018 18:34:41,Forestcraft,Aggro,Forestcraft,Aggro,0
96,6/5/2018 19:38:52,Dragoncraft,,Swordcraft,,0
97,6/5/2018 20:09:23,Bloodcraft,Vengeance,Runecraft,Mysteria,1
98,6/6/2018 6:39:15,Portalcraft,Midrange,Dragoncraft,Lindworm,1
99,6/6/2018 13:14:06,Havencraft,Summit,Forestcraft,Aggro,0
100,6/6/2018 13:17:23,Dragoncraft,Jabberwock,Portalcraft,Artifact,1
101,6/6/2018 13:44:17,Havencraft,Tenko,Dragoncraft,,0
102,6/6/2018 14:08:40,Runecraft,Faust,Shadowcraft,Midrange,1
103,6/6/2018 14:10:23,Dragoncraft,Lindworm,Forestcraft,Agroo,0
104,6/6/2018 14:26:08,Bloodcraft,Vengeance,Havencraft,Neutral ,1
105,6/6/2018 14:30:16,Swordcraft,Support Cannon,Forestcraft,Control,1
106,6/6/2018 14:44:55,Havencraft,Summit,Dragoncraft,Lindworm,1
107,6/6/2018 14:48:53,Bloodcraft,Vengeance,Portalcraft,Midrange,1
108,6/6/2018 15:05:04,Portalcraft,Artifact,Swordcraft,Aggro,1
109,6/6/2018 15:07:36,Dragoncraft,PDK,Havencraft,Tenko,1
110,6/6/2018 15:37:48,Forestcraft,Aggro,Forestcraft,Aggro,0
111,6/6/2018 15:38:27,Portalcraft,Artifact,Forestcraft,Aggro,0
112,6/6/2018 16:01:09,Bloodcraft,Vengeance,Shadowcraft,Midrange,1
113,6/6/2018 16:10:05,Havencraft,Summit,Dragoncraft,,1
114,6/6/2018 16:10:38,Swordcraft,Midrange,Swordcraft,,1
115,6/6/2018 16:18:51,Portalcraft,Artifact,Forestcraft,Neutral,1
116,6/6/2018 16:46:31,Dragoncraft,,Swordcraft,,1
117,6/6/2018 17:30:11,Havencraft,Tenko,Forestcraft,Aggro,1
118,6/6/2018 18:21:55,Runecraft,Ginger,Dragoncraft,PDK,1
119,6/6/2018 18:26:06,Runecraft,Spellboost,Runecraft,Spellboost,1
120,6/6/2018 19:59:33,Runecraft,Ginger,Bloodcraft,Vengeance,1
121,6/6/2018 21:34:34,Forestcraft,Aggro,Bloodcraft,Vengeance,1
122,6/6/2018 21:36:08,Forestcraft,Aggro,Swordcraft,Midrange,0
123,6/6/2018 21:57:46,Swordcraft,Aggro,Dragoncraft,,1
124,6/6/2018 23:44:56,Forestcraft,Neutral,Forestcraft,Aggro,0
125,6/6/2018 23:49:44,Dragoncraft,PDK,Swordcraft,Midrange,1
126,6/7/2018 0:57:00,Forestcraft,Forest,Bloodcraft,Vengeance,1
127,6/7/2018 1:48:17,Forestcraft,Neutral,Swordcraft,Midrange,1
128,6/7/2018 1:50:42,Runecraft,Spellboost,Bloodcraft,Vengeance ,1
129,6/7/2018 2:23:50,Havencraft,Amulet,Portalcraft,Artifact,0
130,6/7/2018 2:50:08,Runecraft,Ginger,Bloodcraft,Aggro,1
131,6/7/2018 3:01:56,Runecraft,Ginger,Forestcraft,Aggro,1
132,6/7/2018 3:22:59,Portalcraft,Puppets,Forestcraft,Aggro ,0
133,6/7/2018 4:14:25,Havencraft,Tenko,Forestcraft,Neutral,0
134,6/7/2018 4:15:44,Portalcraft,Midrange,Swordcraft,Midrange,1
135,6/7/2018 4:38:53,Bloodcraft,Aggro,Portalcraft,Artifact,1
136,6/7/2018 4:49:23,Runecraft,Spellboost,Dragoncraft,PDK,1
137,6/7/2018 5:02:16,Portalcraft,Hybrid,Havencraft,Summit,1
138,6/7/2018 5:11:39,Forestcraft,Aggro,Swordcraft,Midrange,1
139,6/7/2018 5:14:04,Forestcraft,Control,Swordcraft,Aggro,0
140,6/7/2018 5:53:45,Forestcraft,Tempo,Swordcraft,Midrange,1
141,6/7/2018 5:55:10,Dragoncraft,PDK,Swordcraft,Aggro,1
142,6/7/2018 5:56:20,Bloodcraft,Vengeance,Dragoncraft,PDK,1
143,6/7/2018 6:15:10,Dragoncraft,,Havencraft,,1
144,6/7/2018 6:34:35,Dragoncraft,,Dragoncraft,,1
145,6/7/2018 7:17:29,Bloodcraft,Vengeance,Swordcraft,Spartacus,1
146,6/7/2018 7:45:34,Runecraft,Spellboost,Bloodcraft,Neutral,1
147,6/7/2018 7:48:03,Runecraft,Spellboost,Bloodcraft,Neutral,1
148,6/7/2018 7:48:47,Bloodcraft,Neutral,Forestcraft,Aggro,0
149,6/7/2018 8:49:43,Dragoncraft,Jabberwock,Dragoncraft,PDK,0
150,6/7/2018 8:53:32,Portalcraft,Artifact,Swordcraft,Midrange,1
151,6/7/2018 9:29:05,Forestcraft,Aggro,Runecraft,Neutral,1
152,6/7/2018 10:50:28,Forestcraft,Aggro,Forestcraft,Midrange,0
153,6/7/2018 13:38:13,Dragoncraft,PDK,Forestcraft,Aggro,1
154,6/7/2018 14:39:14,Bloodcraft,Vengeance,Swordcraft,Aggro,1
155,6/7/2018 14:40:27,Runecraft,Mysteria,Swordcraft,Midrange,1
156,6/7/2018 18:32:58,Shadowcraft,,Runecraft,,1
157,6/7/2018 19:43:30,Havencraft,Tenko,Havencraft,Tenko,1
158,6/7/2018 23:59:15,Bloodcraft,Jormungand,Havencraft,Tenko,1
159,6/8/2018 0:48:11,Dragoncraft,PDK,Shadowcraft,Midrange,0
160,6/8/2018 1:17:39,Forestcraft,Aggro,Shadowcraft,Reanimate,0
161,6/8/2018 8:55:55,Forestcraft,Aggro,Forestcraft,Aggro,0
162,6/8/2018 10:26:21,Forestcraft,Aggro,Dragoncraft,PDK Dragon,1
163,6/8/2018 12:18:17,Dragoncraft,Jabberwock,Bloodcraft,Vengeance,0
164,6/8/2018 12:36:29,Shadowcraft,Midrange,Dragoncraft,PDK,1
0,6/4/2018 16:42:49,Portalcraft,Artifact,Havencraft,Summit,1
1,6/4/2018 16:49:25,Runecraft,Spellboost,Havencraft,Tenko,1
2,6/4/2018 16:50:22,Bloodcraft,Neutral,Dragoncraft,Lindworm,1
3,6/4/2018 16:52:20,Dragoncraft,PDK,Havencraft,Tenko,1
4,6/4/2018 16:52:57,Portalcraft,Artifact,Portalcraft,Hybrid,1
5,6/4/2018 16:58:46,Swordcraft,Midrange,Havencraft,Tenko,1
6,6/4/2018 16:59:26,Havencraft,Tenko,Runecraft,Ginger,0
7,6/4/2018 17:00:57,Runecraft,Ginger,Dragoncraft,PDK,1
8,6/4/2018 17:09:46,Forestcraft,Aggro,Dragoncraft,Lindworm,1
9,6/4/2018 17:11:55,Forestcraft,Aggro,Forestcraft,Buff,1
10,6/4/2018 17:25:36,Portalcraft,Midrange,Bloodcraft,Vegenance,1
11,6/4/2018 17:29:42,Bloodcraft,Vengeance,Dragoncraft,Ramp,0
12,6/4/2018 17:32:34,Swordcraft,Support Cannon,Swordcraft,Midrange,1
13,6/4/2018 17:34:42,Swordcraft,Support Cannon,Dragoncraft,Ramp,0
14,6/4/2018 17:34:43,Runecraft,Ginger,Forestcraft,Control,1
15,6/4/2018 17:38:21,Bloodcraft,Vengeance,Dragoncraft,,1
16,6/4/2018 17:44:35,Forestcraft,Midrange,Havencraft,Tenko,0
