Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
2018/09/15 9:34:25 AM MDT,Havencraft,Storm,Master,,Havencraft,Tenko,2.0,0.0,Runecraft,Spellboost,2.0,0.0,Shadowcraft,Midrange,1.0,1.0,Swordcraft,Midrange,2.0,1.0,Shadowcraft,Midrange,1.0,1.0,3.0,0.0
2018/09/15 9:35:21 AM MDT,Bloodcraft,Dfb,Master,,Shadowcraft,,,0.0,Forestcraft,,1.0,0.0,Shadowcraft,,2.0,0.0,Shadowcraft,,1.0,0.0,Portalcraft,,2.0,1.0,1.0,0.0
2018/09/15 9:36:12 AM MDT,Swordcraft,Midrange,Master,,Bloodcraft,Dfb,,1.0,Shadowcraft,Midrange,,0.0,Havencraft,Tenko,,1.0,Bloodcraft,Dfb,,1.0,Bloodcraft,Dfb,,1.0,4.0,0.0
2018/09/15 9:39:03 AM MDT,Swordcraft,Midrange,A,,Dragoncraft,Jabberwock,2.0,1.0,Bloodcraft,Dfb,1.0,1.0,Shadowcraft,Midrange,2.0,0.0,Havencraft,Tenko,1.0,1.0,Runecraft,Dshift,1.0,1.0,4.0,0.0
2018/09/15 10:04:52 AM MDT,Havencraft,Tenko,Master,,Swordcraft,Spartacus,2.0,0.0,Runecraft,Dshift,1.0,1.0,Runecraft,Ginger,1.0,1.0,Dragoncraft,Ramp,2.0,1.0,Dragoncraft,Aggro,2.0,1.0,4.0,0.0
2018/09/15 10:13:42 AM MDT,Swordcraft,Aggro,Master,,Bloodcraft,Vengeance,2.0,1.0,Runecraft,Dshift,2.0,1.0,Swordcraft,Midrange,2.0,0.0,Havencraft,Control,1.0,1.0,Portalcraft,Artifact,1.0,1.0,4.0,0.0
2018/09/15 10:15:17 AM MDT,Bloodcraft,Dfb,Grand Master,https://shadowverse-portal.com/deck/1.6.6YBRY.6YBRY.6YBRY.63gJY.63gJY.63gJY.63dOg.6F3pC.6F3pC.6F3pC.6F6FS.6F6FS.6F6FS.6YAyI.6YFqo.6YFqo.6YFqo.5_pzw.5_pzw.5_p-4.5_p-4.5_p-4.6MlGA.6MlGA.6MlGA.6F6kY.6F6kY.63ilo.63ilo.63ilo.6YDOY.6YDOY.6YDOY.63i_Q.63i_Q.63i_Q.6URhy.6URhy.6URhy.63i_a?lang=en,Shadowcraft,Midrange,1.0,1.0,Bloodcraft,Dfb,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,Forestcraft,Roach,1.0,1.0,5.0,0.0
2018/09/15 10:56:39 AM MDT,Shadowcraft,Midrange,A,,Bloodcraft,Dfb,2.0,1.0,Bloodcraft,Aggro,2.0,1.0,Shadowcraft,Midrange,2.0,0.0,Havencraft,Tenko,2.0,1.0,Forestcraft,Aggro,2.0,1.0,4.0,0.0
2018/09/15 11:01:05 AM MDT,Havencraft,Tenko,AA,,Bloodcraft,Vengeance,2.0,1.0,Havencraft,Storm,2.0,1.0,Dragoncraft,Lindworm,2.0,1.0,Swordcraft,Aggro,2.0,1.0,Swordcraft,Aggro,1.0,0.0,4.0,0.0
2018/09/15 11:16:14 AM MDT,Shadowcraft,Midrange,Master,,Runecraft,Dshift,2.0,1.0,Runecraft,Dshift,2.0,0.0,Shadowcraft,Dark Alice,1.0,1.0,Swordcraft,Spartacus,1.0,1.0,Forestcraft,Roach,1.0,1.0,4.0,0.0
