Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
2018/09/22 2:47:32 PM MDT,Swordcraft,,AA,,Shadowcraft,Midrange,1.0,0.0,Portalcraft,Puppet,2.0,1.0,Forestcraft,Roach,1.0,1.0,Swordcraft,,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,4.0,0.0
2018/09/22 2:58:24 PM MDT,Shadowcraft,Ptp,Grand Master,,Swordcraft,Midrange,1.0,1.0,Havencraft,Elana,1.0,0.0,Dragoncraft,Ramp,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,Runecraft,Daria,2.0,1.0,4.0,0.0
2018/09/22 3:29:04 PM MDT,Swordcraft,Ironwrought,Master,https://shadowverse-portal.com/deck/1.2.5-Hb2.5-Hb2.5-Hb2.6LFJi.6LFJi.6LFJi.6SuKQ.6SuKQ.6SuKQ.6LCtI.6LCtI.6LCtI.6Sw1o.6Sw1o.6Sw1o.628Pw.628Pw.65-lY.65-lY.6LHlo.6LHlo.6LHlo.6P3SY.6P3SY.6P10I.6P10I.6P4BQ.69rKo.69rKo.69rKo.6DabS.6DabS.6DabS.6LG2Q.6LG2Q.6Sw1y.6Sw1y.6WkAy.6WkAy.6WkAy?lang=en,Havencraft,Elana,1.0,1.0,Dragoncraft,Ramp,1.0,1.0,Havencraft,Tenko,2.0,1.0,Havencraft,Tenko,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,5.0,0.0
2018/09/22 4:49:31 PM MDT,Havencraft,Storm,Master,https://shadowverse-portal.com/deck/1.7.640Ho.640Ho.640Ho.6N9tI.6N9tI.6YXPo.6YXPo.6YXPo.63_po.63_po.63_po.60COQ.60COQ.60COa.60COa.60COa.67st2.67st2.67st2.6JGMs.6JGMs.6N7gg.6N7gg.640IQ.640IQ.640IQ.6JGMY.6JGMY.6JGMY.659nE.6Uq6S.6Uq6S.6JJI2.6JJI2.6JJI2.6477S.67uqM.67uqM.67uqM.6N9OC?lang=en#,Bloodcraft,Dfb,2.0,1.0,Runecraft,Daria,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,Forestcraft,Roach,,1.0,Swordcraft,Spartacus,,1.0,5.0,0.0
2018/09/22 10:06:43 PM MDT,Shadowcraft,Nephthys,Master,https://shadowverse-portal.com/deck/1.5.6XmqQ.6XmqQ.6XmqQ.6Avi6.6Avi6.6Avi6.6EmHC.6EmHC.6IVXY.6IVXY.6IVXY.6MJgs.6MJgs.6MJgs.6XoXy.6XoXy.6XoXy.6Ei7Q.6Ei7Q.6Ei7Q.68zBM.68zBM.68zBg.68zBg.6XoXo.6XoXo.6XoXo.63Kb4.63Kb4.63KbE.63KbE.63KbE.6AviG.6AviG.6AviG.63Jsg.63Jsg.6A-aI.6A-aI.6A-aI?lang=en,Dragoncraft,Pdk,1.0,1.0,Runecraft,Burn,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,Forestcraft,Roach,1.0,1.0,Swordcraft,Spartacus,2.0,0.0,4.0,0.0
2018/09/22 10:13:41 PM MDT,Dragoncraft,Dragonplate,Master,https://shadowverse-portal.com/deck/1.4.61O4A.61O4A.61O4A.5_394.5_394.6EJDg.6EJDg.6EJDg.6I772.6I772.6I772.6PqHY.6PqHY.6TZYW.6TZYW.6TZYW.5_38w.5_38w.5_38w.62vkA.62vkA.62vkA.6AaSQ.6AaSQ.6TcjA.6TcjA.61O4K.6TeQY.6TeQY.6TeQY.6Tf9Q.6Tf9Q.6Tf9Q.6AY0A.6AV4q.6AV4q.6AV4q.6TeQi.6TeQi.6TeQi?lang=en,Bloodcraft,Dfb,1.0,1.0,Bloodcraft,Dfb,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,Runecraft,Dirt,1.0,0.0,Shadowcraft,Midrange,1.0,1.0,4.0,0.0
2018/09/23 12:15:34 AM MDT,Dragoncraft,Roost,AA,,Havencraft,Tenko,1.0,1.0,Dragoncraft,Ramp,1.0,1.0,Portalcraft,Artifact,1.0,1.0,Shadowcraft,Midrange,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,5.0,0.0
2018/09/23 12:29:52 AM MDT,Swordcraft,Ironwrought,AA,https://shadowverse-portal.com/deck/1.2.6LFJi.6LFJi.6LFJi.6Soj2.6Soj2.6Soj2.628BY.628BY.628BY.6LFJY.6LFJY.6LFJY.6Sw1o.6Sw1o.6Sw1o.628Pw.628Pw.628Pw.65-lY.65-lY.65-lY.6LHlo.6WfII.6WfII.69oui.69oui.69mSS.69mSS.69mSS.6DabS.6DabS.6DabS.6LG2Q.6LG2Q.5-K1S.5-K1S.6Sw1y.6Sw1y.6WkAy.6WkAy?lang=en,Bloodcraft,Dfb,2.0,0.0,Runecraft,,1.0,1.0,Bloodcraft,Dfb,1.0,1.0,Havencraft,Control,2.0,1.0,Havencraft,Lion,2.0,1.0,4.0,0.0
2018/09/23 2:39:49 AM MDT,Forestcraft,Roach,Master,,Dragoncraft,Roost,1.0,1.0,Dragoncraft,Dragonplate,2.0,1.0,Havencraft,Tenko,2.0,1.0,Portalcraft,Puppet,1.0,0.0,Shadowcraft,Midrange,1.0,0.0,3.0,0.0
2018/09/23 3:55:40 AM MDT,Forestcraft,Roach,Master,,Runecraft,Daria,1.0,0.0,Bloodcraft,Dfb,1.0,0.0,Runecraft,Dshift,2.0,1.0,Shadowcraft,Midrange,1.0,0.0,Forestcraft,Aggro,1.0,0.0,1.0,0.0
2018/09/23 4:59:37 AM MDT,Bloodcraft,Vengeance,Master,,Shadowcraft,Midrange,2.0,1.0,Runecraft,Dshift,1.0,1.0,Runecraft,Dirt,2.0,1.0,Havencraft,Summit,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,5.0,0.0
2018/09/23 5:21:11 AM MDT,Bloodcraft,Aggro,B,,Bloodcraft,Dfb,,0.0,Portalcraft,Puppet,,0.0,Bloodcraft,Dfb,,1.0,Runecraft,Dirt,,1.0,Dragoncraft,Ramp,,1.0,3.0,0.0
2018/09/23 8:10:17 AM MDT,Bloodcraft,Control,Master,,Swordcraft,,1.0,1.0,Dragoncraft,,2.0,1.0,Runecraft,,1.0,1.0,Havencraft,,1.0,0.0,Shadowcraft,,2.0,1.0,4.0,0.0
2018/09/23 11:12:50 AM MDT,Bloodcraft,Dfb,AA,,Shadowcraft,,2.0,1.0,Shadowcraft,Midrange,1.0,1.0,Runecraft,Burn,2.0,1.0,Dragoncraft,,1.0,1.0,Runecraft,Dshift,1.0,1.0,5.0,0.0
2018/09/23 1:43:59 PM MDT,Swordcraft,Spartacus,Master,,Havencraft,Tenko,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,Forestcraft,Ptp,1.0,0.0,Runecraft,Daria,1.0,0.0,3.0,0.0
2018/09/23 2:44:35 PM MDT,Swordcraft,Spartacus,Master,,Dragoncraft,Pdk,1.0,1.0,Runecraft,Spellboost,2.0,1.0,Runecraft,Spellboost,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,Forestcraft,Roach,2.0,1.0,5.0,0.0
