Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Out of GP (Lost twice),Class3,Archetype3,First3,Result3,Wins
2018/09/23 3:20:35 PM MDT,Shadowcraft,Midrange,Master,https://shadowverse-portal.com/deck/1.5.63E_G.63E_G.63E_G.6XtQc.63FiQ.63FiQ.63FiQ.6Avi6.6Avi6.6Avi6.6IVXY.6IVXY.6IVXY.6MJgs.6MJgs.6MJgs.6MOZC.6MOZC.6XoXy.6XoXy.6XoXy.6Ei7Q.6Ei7Q.6MMrg.6MMrg.6XoXo.6XoXo.6XoXo.6Q8Io.6Q8Io.6Ejr6.6Ejr6.6IaQ2.6IaQ2.63KbE.63KbE.6EojS.6EojS.6EojS.6MPHw?lang=en#,Runecraft,Dshift,Second,1.0,Havencraft,Tenko,Second,1.0,,Havencraft,Tenko,Second,1.0,3.0
2018/09/23 3:27:06 PM MDT,Havencraft,Grail,Grand Master,,Runecraft,Dshift,Second,0.0,Shadowcraft,Midrange,Second,1.0,,Runecraft,Dshift,First,0.0,1.0
2018/09/23 5:06:05 PM MDT,Runecraft,Dshift,AA,,Forestcraft,Roach,Second,0.0,Forestcraft,Roach,First,0.0,"I'm out, feels bad",,,,,0.0
2018/09/23 5:19:41 PM MDT,Bloodcraft,Dfb,C,,Shadowcraft,Midrange,First,1.0,Portalcraft,Puppet,Second,0.0,"I'm out, feels bad",Havencraft,Summit,Second,0.0,1.0
2018/09/23 5:45:49 PM MDT,Shadowcraft,Atomy,B,,Shadowcraft,Midrange,First,1.0,Bloodcraft,Vengeance,Second,1.0,,Shadowcraft,Midrange,First,1.0,3.0
2018/09/23 6:00:34 PM MDT,Swordcraft,Spartacus,AA,,Shadowcraft,Midrange,Second,1.0,Shadowcraft,Midrange,Second,0.0,,Shadowcraft,Midrange,Second,0.0,1.0
2018/09/23 7:24:08 PM MDT,Bloodcraft,Vengeance,Master,,Havencraft,Elana,First,1.0,Swordcraft,Spartacus,First,1.0,,Havencraft,Tenko,First,1.0,3.0
2018/09/23 11:10:10 PM MDT,Bloodcraft,Dfb,A,,Dragoncraft,Ramp,First,1.0,Shadowcraft,Midrange,First,0.0,,Havencraft,Storm,Second,0.0,1.0
2018/09/24 12:48:43 AM MDT,Bloodcraft,Dfb,Beginner,,Bloodcraft,Dfb,First,1.0,Forestcraft,Roach,Second,0.0,,Havencraft,Elana,Second,1.0,2.0
2018/09/24 9:54:42 AM MDT,Havencraft,Tenko,Master,,Swordcraft,Aggro,First,1.0,Forestcraft,Roach,Second,0.0,,Swordcraft,Aggro,Second,1.0,2.0
2018/09/24 11:04:24 AM MDT,Swordcraft,Spartacus,A,https://shadowverse-portal.com/deck/1.2.6KSnA.6KSnA.6KSnA.6O-aM.6O-aM.6WfIS.6WfIS.65wcO.65wcO.65wcO.6P1lA.6Wdaw.6Wdaw.6Wdaw.6DYeI.61NLI.61NLI.61NLI.61O4e.61O4e.61O4e.61QWQ.61QWQ.61QWQ.6VuyY.6VuyY.6VuyY.628AI.6HRAY.6HRAY.6HRAY.68zBM.6KS2S.6KS2S.6KS2S.6OIdY.6OIdY.6OIdY.6Sw26.6OL3o?lang=en,Runecraft,Dshift,Second,1.0,Shadowcraft,Midrange,Second,0.0,,Bloodcraft,Dfb,Second,0.0,1.0
2018/09/24 12:28:27 PM MDT,Shadowcraft,Aggro,AA,,Shadowcraft,Midrange,First,0.0,Bloodcraft,Dfb,Second,1.0,,Bloodcraft,Aggro,First,0.0,1.0
,,,,,,,,,,,,,,,,,,
2018/09/24 12:42:22 PM MDT,Shadowcraft,Midrange,A,,Portalcraft,Puppet,Second,1.0,Havencraft,Tenko,Second,0.0,,Runecraft,,First,1.0,2.0
2018/09/24 1:04:24 PM MDT,Havencraft,Storm,B,https://sv.bagoum.com/deckbuilder#NiwzOjEwMTcxMzAxMCwzOjEwNjczMzAxMCwzOjEwOTcxMzAxMCwyOjEwOTA0MTAyMCwzOjEwMzcyMTAzMCwxOjEwODczMTAxMCwyOjEwMDcxNDAxMCwzOjEwMDcxNDAyMCwzOjEwMjcyMzAxMCwyOjEwMTcyMTA4MCwzOjEwMTcxMzA1MCwyOjEwNTcxMTAxMCwyOjEwODc0MTAyMCwzOjEwNTcyMzAxMCwzOjEwMjczMTAzMCwyOjEwOTc0MTAyMA==,Bloodcraft,Dfb,Second,1.0,Bloodcraft,Dfb,Second,0.0,,Havencraft,Tenko,Second,1.0,2.0
2018/09/24 1:26:21 PM MDT,Shadowcraft,Atomy,Master,,Bloodcraft,Dfb,First,1.0,Forestcraft,Roach,Second,1.0,,Havencraft,Storm,Second,0.0,2.0
2018/09/24 1:32:45 PM MDT,Shadowcraft,Atomy,Master,,Swordcraft,Aggro,Second,0.0,Havencraft,Amulet,Second,0.0,"I'm out, feels bad",,,,,0.0
2018/09/24 1:44:02 PM MDT,Shadowcraft,Midrange,Grand Master,,Swordcraft,Aggro,Second,0.0,Forestcraft,Roach,,1.0,,Portalcraft,Puppet,,1.0,2.0
2018/09/24 1:44:56 PM MDT,Havencraft,Tenko,A,,Shadowcraft,Midrange,First,0.0,Dragoncraft,Discard,First,0.0,"I'm out, feels bad",,,First,0.0,0.0
2018/09/24 1:56:07 PM MDT,Runecraft,Daria,AA,,Havencraft,Tenko,First,1.0,Shadowcraft,Midrange,First,1.0,,Dragoncraft,Aggro,Second,0.0,2.0
