Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
8/9/2018 20:41:42,Forestcraft,Aggro,AA,,Shadowcraft,Reanimate,2.0,1,Portalcraft,Puppet,1.0,1,Portalcraft,Puppet,2.0,0,Portalcraft,Artifact,1.0,1,Runecraft,Spellboost,1.0,1,4,0
8/9/2018 21:03:46,Forestcraft,Aggro,Master,,Dragoncraft,Ramp,1.0,1,Swordcraft,Midrange,2.0,1,Portalcraft,Puppet,2.0,1,Swordcraft,Midrange,1.0,0,Swordcraft,Midrange,1.0,1,4,0
8/10/2018 7:13:23,Havencraft,Lion,Master,,Dragoncraft,Pdk,2.0,0,Swordcraft,Midrange,1.0,0,Forestcraft,Aggro,1.0,1,Portalcraft,Puppet,1.0,1,Shadowcraft,Arcus,2.0,1,3,0
8/10/2018 7:28:23,Havencraft,Summit+Tenko,Grand Master,https://shadowverse-portal.com/deck/3.7.6N9tI.6N9tI.6N9tI.6Qzmg.6JNhI.6JNhI.6JNhI.6Ung2.6Ung2.6Ung2.6Ybp2.6Ybp2.60COa.60COa.60COa.6UjGo.6UjGo.6UjGo.6Q_zI.6Q_zI.6Ya5g.6Uo9I.6Uo9I.6Uo9I.6Uq6S.6Uq6S.6Uq6S.6Unvg.6Unvg.6Unvg.6YeFI.6YeFI.6YeFI.6Q_zS.6Q_zS.6Q_zS.6Uq6I.6YcXw.6YcXw.6YcXw?lang=en#_=_,Runecraft,Spellboost,1.0,1,Dragoncraft,Lindworm,2.0,1,Forestcraft,Aggro,1.0,0,Havencraft,Summit+Tenko,2.0,1,Forestcraft,Aggro,1.0,1,4,0
8/10/2018 9:01:29,Runecraft,Abyss,Grand Master,https://shadowverse-portal.com/deck/3.3.5-gkQ.5-gkQ.5-gkQ.6PQ9g.6PQ9g.6PQ9g.6HkyA.6HkyA.6HkyA.6LZ5A.6LZ5A.6LZ5A.6LYrs.6LYrs.5-gka.5-gka.5-gka.5-gku.6HqJw.6Hs1S.6Hs1S.6Hs1S.ft9qg.ft9qg.ft9qg.62Uta.62Uta.62Uta.6X1io.6X1io.6X1io.5-glM.5-glM.5-glM.5-iRo.5-iRo.5-iRo.6TB7Y.6TB7Y.6TB7Y?lang=en,Havencraft,Tenko,2.0,1,Portalcraft,Artifact,1.0,1,Havencraft,Lion,2.0,1,Havencraft,Lion,1.0,1,Dragoncraft,Pdk,2.0,1,5,0
8/10/2018 9:49:30,Portalcraft,Artifact,B,,Forestcraft,Neutral,1.0,1,Portalcraft,Puppet,1.0,1,Portalcraft,Puppet,1.0,1,Portalcraft,Puppet,1.0,1,Portalcraft,Artifact,1.0,1,5,0
8/10/2018 10:50:16,Forestcraft,Midrange,Master,,Runecraft,Spellboost,1.0,1,Portalcraft,Artifact,1.0,1,Portalcraft,Artifact,2.0,1,Dragoncraft,Pdk,2.0,1,Havencraft,Tenko,2.0,0,4,0
8/10/2018 11:51:59,Forestcraft,Aggro,Grand Master,https://shadowverse-portal.com/deck/1.1.5zWm2.5zWm2.5zvAY.5zvAY.5zvAY.6KolQ.6KolQ.6KolQ.5zvAi.5zvAi.5zvAi.6Oc9s.6Oc9s.6Oh22.6Oh22.6Oh22.6OjUS.6OjUS.6OjUS.6SVBM.6SVBM.6SVBM.6KrBg.6KrBg.6KrBg.6H0p2.6H0p2.6H0p2.6H2m2.6H2m2.6Ko0i.6Ko0i.6H2mC.6H2mC.6H2mC.6WJKC.6WJKC.6SXdc.6SXdc.6SXdc?lang=en,Havencraft,Lion,2.0,1,Havencraft,,2.0,1,Havencraft,Lion,1.0,1,Havencraft,Tenko,1.0,1,Forestcraft,Control,2.0,1,5,0
8/10/2018 12:51:08,Runecraft,Spellboost,Master,,Swordcraft,Midrange,1.0,1,Portalcraft,Puppet,1.0,0,Swordcraft,Midrange,2.0,1,Runecraft,Spellboost,1.0,1,Bloodcraft,Control,2.0,1,4,0
8/10/2018 13:07:19,Forestcraft,Midrange,A,,Forestcraft,Control,2.0,1,Runecraft,Abyss,2.0,1,Shadowcraft,Arcus,2.0,0,Runecraft,Spellboost,1.0,1,Portalcraft,Puppet,2.0,0,3,0
8/10/2018 13:28:30,Portalcraft,Puppet,B,,Shadowcraft,Arcus,2.0,1,Swordcraft,Midrange,1.0,1,Forestcraft,Aggro,2.0,1,Portalcraft,Puppet,2.0,1,Havencraft,Summit+Tenko,2.0,0,4,0
